NumFacture,count
14429270,4
14429271,4
14429272,4
14429273,2
14429274,5
14429275,5
14429276,4
14429277,3
14429278,3
14429279,4
14429280,4
14429281,4
14429282,3
14429283,1
14429284,3
14429285,3
14429286,3
14429287,3
14429288,5
14429289,8
14429290,1
14429291,1
14429292,2
14429293,3
14429294,1
14429295,3
14429296,3
14429297,3
14429298,2
14429299,3
14429300,1
14429301,2
14429302,1
14429303,6
14429304,1
14429305,4
14429306,2
14429307,3
14429308,1
14429309,4
14429310,3
14429311,3
14429312,2
14429313,2
14429314,3
14429315,2
14429316,4
14429317,5
14429318,3
14429319,3
14429320,3
14429321,2
14429322,3
14429323,3
14429324,4
14429325,2
14429326,3
14429327,3
14429328,2
14429329,4
14429330,2
14429331,3
14429332,3
14429333,2
14429334,6
14429335,3
14429336,4
14429337,4
14429338,3
14429339,3
14429340,4
14429341,4
14429342,4
14429343,3
14429344,2
14429345,4
14429346,1
14429347,3
14429348,2
14429349,3
14429350,3
14429351,4
14429352,3
14429353,3
14429354,4
14429355,3
14429356,4
14429357,5
14429358,3
14429359,1
14429360,4
14429361,3
14429362,1
14429363,3
14429364,3
14429365,3
14429366,2
14429367,3
14429368,2
14429369,3
14429370,4
14429371,3
14429372,1
14429373,3
14429374,4
14429375,2
14429376,3
14429377,2
14429378,2
14429379,2
14429380,2
14429381,3
14429382,1
14429383,3
14429384,3
14429385,1
14429386,2
14429387,3
14429388,2
14429389,3
14429390,2
14429391,1
14429392,3
14429393,3
14429394,3
14429395,2
14429396,4
14429397,2
14429398,2
14429399,4
14429400,2
14429401,3
14429402,4
14429403,3
14429404,3
14429405,3
14429406,2
14429407,1
14429408,3
14429409,2
14429410,4
14429411,6
14429412,1
14429413,3
14429414,3
14429415,1
14429416,3
14429417,3
14429418,4
14429419,4
14429420,3
14429421,2
14429422,4
14429423,3
14429424,3
14429425,3
14429426,1
14429427,1
14429428,2
14429429,3
14429430,1
14429431,3
14429432,3
14429433,1
14429434,1
14429435,6
14429436,3
14429437,3
14429438,1
14429439,3
14429440,1
